Haz20_p2,172.20.250.138,DES-3028_OTU
Haz20_p5,172.20.250.13,DES-3028_OTU
Haz24_p4,172.20.250.106,DES-3028_OTU
Haz26_p5,172.20.250.21,DES-3028_OTU
Haz30_p2,172.20.250.147,DES-3028_OTU
Haz32_p5,172.20.250.61,DES-3028_OTU
Haz34_p4,172.20.250.53,DES-3526_OTU
Haz3_k1_p5,172.20.250.109,DES-3028_OTU
Haz43_p4,172.20.250.130,DES-3028_OTU
Haz45_p2,172.20.250.156,DES-3028_OTU
Haz47_p2,172.20.250.157,DES-3028_OTU
Haz8_k1_p1,172.20.250.118,DGS-3200-10_OTU
Haz8_k1_p5,172.20.250.115,DES-3528_OTU
Haz9_2p,172.20.250.123,DES-3028_OTU
Hrust90,172.19.114.14,DES-3010G_OTU
Hrust98,172.19.114.20,DES-3010G_OTU
Hrust102,172.19.114.18,DES-3010G_OTU
Hrust104,172.19.114.15,DES-3010G_OTU
Hrust106,172.19.114.16,DES-3010G_OTU
Hrust108,172.19.114.17,DES-3526_OTU
Hrust110,172.19.114.19,DES-3010G_OTU
Institut_Popova_Petergov_Razvodnaya_15,172.22.254.2,DGS-1100-06/ME_OTU
JK_Orlovsky_Park,172.16.200.130,DGS-1210-20/ME_OTU
K12,172.22.112.2,DGS-1510-20_OOS
KOTELNAYA(BOR),172.18.215.86,DGS-1100-06/ME_OTU
Kadetskiy14 172.20.250.218,172.20.250.218,DES-3028_OTU
Kadetskiy18/20 172.20.250.226,172.20.250.226,DES-3028_OTU
Kadetskiy22 172.20.250.234,172.20.250.234,DES-3028_OTU
Kadetskiy22a 172.20.250.211,172.20.250.211,DES-3028_OTU
Kadetskiy24_p4,172.20.250.219,DES-3028_OTU
Kam55,172.19.203.4,DES-3526_OTU
Kam55,172.19.203.2,DES-3526_OTU
Karpinskogo_27,172.22.226.2,DES-3010G_OTU
Kaz22\2,172.19.161.155,DES-3028_OTU
Kaz24/2_2p,172.19.161.29,DES-3028_OTU
Kaz24\2-3p,172.19.161.181,DES-3028_OTU
Kaz24\2-6p,172.19.161.180,DES-3526_OTU
Kaz28/3_4p,172.19.161.69,DES-3028_OTU
Kaz28\1-2p,172.19.161.28,DES-3526_OTU
Kaz28\1-3p,172.19.161.154,DES-3526_OTU
Kaz28\1-5p,172.19.161.153,DES-3028_OTU
Kaz28\1-6p,172.19.161.91,DES-3028_OTU
Kaz28\1-7p,172.19.161.6,DES-3052_OTU
Kaz28\3-1p,172.19.161.146,DES-3028_OTU
Kaz28\3-6p,172.19.161.132,DES-3028_OTU
Kaz32\1-2p 2sw,172.19.161.168,DES-3028_OTU
Kaz32\1-4p,172.19.161.77,DES-3028_OTU
Kaz32\1-4p_podval,172.19.161.78,DGS-1100-06/ME_OTU
Kaz32\1-5p-podval,172.19.161.165,DES-3526_OTU
Kaz32\1-7p,172.19.161.7,DES-3526_OTU
Kaz32\1-7p,172.19.161.200,DGS-3120-24SC_OTU
Kaz32\1-7p podval,172.19.161.79,DES-3028_OTU
Kedr8-1p,172.18.250.30,DES-3028_OOS
Kedr8-2p,172.18.250.24,DGS-1210-20/ME_OTU
Kedr8-3p,172.18.250.28,DES-3010G_OTU
Kedr8-4p,172.18.250.27,DES-3010G_OTU
Kedr8-5p,172.18.250.29,DES-3010G_OTU
Kedr8-6p,172.18.250.25,DES-3528_OTU
Kedr8-7p,172.18.250.26,DES-3028_OTU
Kladovka172.23.235.42,172.23.235.42,DES-3528_OTU
Klietn_s_MC_BolsheOht11_p2,172.19.77.2,DES-3526_OTU
Koll_43,172.19.209.18,DES-3028_OTU
Koll_45k1,172.19.209.51,DES-3526_OTU
Koll_45k2,172.19.209.3,DES-3526_OTU
Koll_47k2,172.19.209.36,DES-3028_OTU
Koll_47k4,172.19.209.34,DES-3526_OTU
Koll_47k6,172.19.209.50,DES-3028_OTU
Koll_49,172.19.209.35,DES-3526_OTU
Kolpino_Veri_Slutskoy_36,172.22.232.2,DES-3010G_OTU
Kon11 172.19.250.138,172.19.250.138,DES-3028_OTU
Kon13 172.19.250.141,172.19.250.141,DES-3526_OTU
Kon14,172.21.250.5,DES-3010G_OTU
Kon16 172.19.250.237,172.19.250.237,DES-3526_OTU
Kon21,172.19.250.130,DES-3028_OTU
Kon23 172.19.250.131,172.19.250.131,DES-3528_OTU
Kondratievskiy48,172.16.23.18,DES-3200-10_OTU
Konst10_2p_1.32,172.19.150.32,DES-3526_OTU
Konst10_5p_1.33,172.19.150.33,DES-3526_OTU
Konst10_8p_2sw,172.19.150.34,DES-3200-10_OTU
Konst12,172.19.150.19,DES-3028_OTU
Konush 25,172.19.250.190,DGS-1210-20/ME_OTU
Kosm30,172.19.105.2,DES-3052_OTU
Kot6\1-2p,172.19.161.43,DES-3052_OTU
Kot6\1-4p,172.19.161.21,DES-3028_OTU
Kot7\1-2p,172.19.161.8,DES-3052_OTU
Kot7\1-5p,172.19.161.149,DES-3526_OTU
Kot8\1-2p,172.19.161.22,DES-3200-10_OTU
Kot8\1-5p,172.19.161.22,DES-3200-10_OTU
KrasnZvezdi18 172.19.250.140,172.19.250.140,DES-3028_OTU
KrasnZvezdi20(cherdak),172.19.250.148,DES-3028_OTU
KrasnZvezdi24_p2,172.20.250.210,DES-3028_OTU
Kronshtadt_Krasnaya_8/1,172.22.247.6,DES-3010G_OTU
Kronshtadt_Lenina39,172.22.247.7,DES-3010G_OTU
Kronshtadt_Manuilskogo_25,172.22.247.3,DES-3010G_OTU
Kronshtadt_Stanukovicha_6,172.22.247.2,DES-3010G_OTU
Kronshtadt_Vosstaniya72A,172.22.247.5,DES-3010G_OTU
Kronshtadt_Zosimova_4,172.22.247.4,DES-3010G_OTU
LRTPC,172.22.10.2,DES-3010G_OOS
Lag53sw2,172.19.232.13,DGS-3200-10_OTU
Lag57_2p(1-54),172.19.232.2,DES-3028_OTU
Lagernoe53,172.22.232.4,DES-3028_OTU
Lagernoe55,172.19.232.8,DES-3552_OTU
Lahta12_1p,172.18.215.140,DES-3552_OTU
Lahta12_2p,172.18.215.141,DES-3552_OTU
Lebedinnaya 20,172.19.250.182,DES-3526_OTU
Len100/2-10p,172.19.161.157,DES-3052_OTU
Len100/2-12p,172.19.161.202,DGS-3100-24TG_OTU
Len100/2-12p,172.19.161.17,DES-3028_OTU
Len100/2-2p,172.19.161.23,DES-3528_OTU
Len100/2-4p,172.19.161.113,DES-3028_OTU
Len100/2-6p,172.19.161.188,DES-3028_OTU
Len100/2-8p,172.19.161.19,DES-3526_OTU
Len92\1-10p,172.19.161.58,DES-3028_OTU
Len92\1-11p,172.19.161.62,DES-3526_OTU
Len92\1-12p,172.19.161.5,DES-3528_OTU
Len92\1-1p,172.19.161.65,DES-3528_OTU
Len92\1-3p,172.19.161.64,DES-3052_OTU
Len92\1-5p,172.19.161.63,DES-3052_OTU
Len92\1-8p,172.19.161.66,DES-3528_OTU
Len92\3-13p,172.19.161.178,DES-3028_OTU
Len92\3-2p,172.19.161.59,DES-3052_OTU
Len92\3-7p-sw,172.19.161.52,DES-3052_OTU
Len92\3-9p,172.19.161.51,DES-3028_OTU
Len92\3-9p_sw2,172.19.161.104,DES-3052_OTU
Len92\3_4p_sw1,172.19.161.50,DES-3526_OTU
Len96/1-4p#1,172.19.161.18,DES-3526_OTU
Len96/2-1p,172.19.161.187,DES-3526_OTU
Len96/2-3p,172.19.161.130,DES-3052_OTU
Len96\1-2p,172.19.161.55,DES-3528_OTU
Len96\1-4p#2,172.19.161.54,DES-3526_OTU
Len96\3-2p,172.19.161.128,DES-3550_OTU
Leng10_172.20.250.86,172.20.250.86,DES-3028_OTU
Leng10_1p,172.20.250.158,DES-3028_OTU
Leng29_p2,172.20.250.77,DES-3526_OTU
Leng36,172.19.250.36,DES-3028_OTU
Leng37 172.20.250.98,172.20.250.98,DES-3028_OTU
Leng38,172.19.250.4,DES-3528_OTU
Leng40,172.19.250.99,DES-3526_OTU
Leng49 172.20.250.91,172.20.250.91,DES-3028_OTU
Leng51_p3,172.20.250.83,DES-3028_OTU
Leng53 172.20.250.99,172.20.250.99,DES-3028_OTU
Leng59 172.20.250.92,172.20.250.92,DES-3028_OTU
Leng61 172.20.250.84,172.20.250.84,DES-3028_OTU
Leng63 172.20.250.100,172.20.250.100,DES-3028_OTU
Leng67_2(demontirovan),172.19.250.197,DES-3028_OTU
Leng67_p3,172.19.250.196,DES-3028_OTU
Leng69 172.20.250.93,172.20.250.93,DES-3052_OTU
Leng71_p2,172.20.250.85,DES-3028_OTU
Leng73_172.20.250.101,172.20.250.101,DES-3052_OTU
Leng79,172.19.250.194,DES-3028_OTU
Lensoveta43,172.19.102.2,DES-3010G_OTU
Lyam 8,172.19.250.37,DES-3052_OTU
MRC (12.10.18 upal),172.18.215.18,DES-3028_OTU
MSadovaya1_172.22.222.2,172.22.222.2,DES-3526_OTU
Mag11_1 172.19.250.42,172.19.250.42,DES-3028_OTU
Mag11_2,172.19.250.48,DES-3526_OTU
Mag13 172.19.250.43,172.19.250.43,DES-3028_OTU
Mag20 172.19.250.70,172.19.250.70,DES-3028_OTU
Mag24,172.19.250.49,DES-3028_OTU
Mag28 172.19.250.40,172.19.250.40,DES-3028_OTU
Mag3 172.19.250.227,172.19.250.227,DES-3028_OTU
Mag32_172.19.250.44,172.19.250.44,DES-3028_OTU
Mag34_172.19.250.50,172.19.250.50,DGS-1100-06/ME_OTU
Mag5 172.21.250.2,172.21.250.2,DES-3028_OTU
Mag54 172.20.250.194,172.20.250.194,DES-3028_OTU
Mag9 172.19.250.41,172.19.250.41,DES-3028_OTU
Main - 172.23.235.6,172.23.235.6,DES-3528_OOS
Malaya51_p2,172.19.250.154,DES-3028_OTU
Malaya64(2) 172.19.250.149,172.19.250.149,DES-3028_OTU
Malaya64_1p 172.19.250.146,172.19.250.146,DES-3028_OTU
Malygina6,172.19.235.18,DGS-1210-20/ME_OTU
Melnica_main,172.22.223.5,DES-3528_OOS
Melnica_main,172.22.223.5,DES-3528_OTU
Metallistov111,172.16.23.19,DGS-1100-06/ME_OTU
Mohovaya_11,172.22.222.3,DES-3010G_OTU
Moiky_85,172.22.222.18,DES-3028_OTU
Moldagulovoy_5,172.23.235.19,DES-3010G_OTU
Mosk10 172.19.250.203,172.19.250.203,DES-3028_OTU
Mosk11 172.19.250.204,172.19.250.204,DES-3526_OTU
Mosk14_p1,172.19.250.206,DES-3028_OTU
Mosk24 172.19.250.229,172.19.250.229,DES-3028_OTU
Mosk25 172.19.250.230,172.19.250.230,DES-3526_OTU
Mosk25_2 172.19.250.231,172.19.250.231,DES-3028_OTU
Mosk28 172.19.250.234,172.19.250.234,DES-3028_OTU
Mosk29 172.19.250.236,172.19.250.236,DES-3526_OTU
Mosk45 172.19.250.235,172.19.250.235,DES-3028_OTU
Nast17,172.19.210.131,DES-3526_OTU
Nast17-p3,172.19.210.132,DES-2110_OTU
Nast17-p5,172.19.210.133,DES-2110_OTU
Nast6-p7,172.19.210.147,DES-2110_OTU
Nast6-p10,172.19.210.148,DES-3526_OTU
Nova36 172.20.250.67,172.20.250.67,DES-3052_OTU
Novo-Alexandrovskaya_12,172.22.201.250,DES-3200-10_OTU
Oboronnaya_35,172.22.207.10,DES-3010G_OTU
Obshaga_MCHS(Trefoleva43),172.22.99.3,DES-3200-10_OTU
Obshaga_MCHS_Fuchika_10,172.19.235.34,DES-3010G_OTU
Obshaga_MCHS_Pridorozhnaya30,172.18.147.3,DES-3028_OTU
Obshaga_MCHS_Primorskiy_12,172.22.54.4,DES-3200-10_OTU
Ochak9,172.19.235.38,DES-3010G_OTU
Okt1 172.19.250.98,172.19.250.98,DES-3526_OTU
Okt10,172.20.250.66,DES-3526_OTU
Okt22_p1,"172.20.250.76, 10.0.39.2",DES-3010G_OTU
Okt3_p1,172.19.250.101,DES-3028_OTU
Okt5_p3,172.19.250.66,DES-3200-52_OTU
Okt7_1 172.19.250.34,172.19.250.34,DES-3028_OTU
Okt7_2 172.19.250.106,172.19.250.106,DGS-1210-20/ME_OTU
Okt7_3 172.19.250.39,172.19.250.39,DES-3028_OTU
Operativnoye_upravleniye(Michurinskaya 5/2),172.22.203.12,DES-3526_OOS
Oran15,172.21.250.6,DES-3010G_OTU
Oran20 172.19.250.233,172.19.250.233,DES-3010G_OTU
Oran35 172.20.250.196,172.20.250.196,DES-3028_OTU
Oran39 172.20.250.78,172.20.250.78,DES-3028_OTU
Oran46 172.20.250.74,172.20.250.74,DES-3526_OTU
Oran51 172.20.250.70,172.20.250.70,DES-3028_OTU
Oran53_p2,172.20.250.68,DGS-1210-20/ME_OTU
Oran55 172.20.250.75,172.20.250.75,DES-3526_OTU
Oran57 172.20.250.69,172.20.250.69,DES-3526_OTU
Oran60 172.20.250.82,172.20.250.82,DGS-1210-20/ME_OTU
Oran62_p1,172.20.250.30,DGS-1210-20/ME_OTU
Oran64_p1,172.20.250.26,DES-3526_OTU
Oran67 172.20.250.90,172.20.250.90,DES-3028_OTU
Oran69,172.20.250.38,DGS-1100-06/ME_OTU
Otvagnyh_6,172.22.130.2,DGS-3200-10_OTU
PEFR_sw2,172.16.12.2,DES-3028_OOS
Park14k1_p2,172.19.254.34,DES-3552_OTU
Park14k1_p5,172.19.254.35,DES-3552_OTU
Park14k2_p2,172.19.254.36,DES-3552_OTU
Park14k2_p5,172.19.254.37,DES-3552_OTU
Park14k2_p7,172.19.254.38,DES-3552_OTU
Park14k3_p2,172.19.254.39,DES-3552_OTU
Park14k3_p5,172.19.254.40,DES-3552_OTU
Park14k3_p7,172.19.254.41,DES-3552_OTU
Park16_blokstanciya,172.19.254.14,DGS-3120-24SC_OTU
Park16_p2,172.19.254.4,DES-3552_OTU
Park16_p7,172.19.254.3,DES-3552_OTU
Park16k2_p2,172.19.254.42,DES-3552_OTU
Park16k2_p5,172.19.254.43,DES-3552_OTU
Park16k2_p8,172.19.254.44,DES-3552_OTU
Park16k3_p2,172.19.254.45,DES-3552_OTU
Park16k3_p5,172.19.254.46,DES-3552_OTU
Park18_podval_2,172.19.254.5,DES-3552_OTU
Park18_podval_3,172.19.254.7,DES-3552_OTU
Park18_podval_5,172.19.254.6,DES-3552_OTU
Park18_podval_7,172.19.254.8,DES-3552_OTU
Park18_podval_10,172.19.254.9,DES-3552_OTU
Park20_172.19.254.10,172.19.254.10,DES-3552_OTU
Park20_172.19.254.11,172.19.254.11,DES-3552_OTU
Park20_172.19.254.12,172.19.254.12,DES-3552_OTU
Park20_172.19.254.13,172.19.254.13,DES-3552_OTU
Parking_Fortuna_Desantnikov15,172.18.161.254,DGS-1100-06/ME_OTU
Pavlovskaya7_1p,172.18.232.2,DES-3552_OTU
Pavlovskaya7_2p,172.18.232.3,DES-3552_OTU
Pavlovskaya7_3p,172.18.232.4,DGS-1210-20/ME_OTU
Pavlovskaya7_4p,172.18.232.5,DGS-1210-20/ME_OTU
Pavlovskoe29 172.19.250.171,172.19.250.171,DES-3028_OTU
Pavlovskoe33 172.19.250.179,172.19.250.179,DES-3028_OTU
Pavlovskoe37,172.19.250.172,DES-3028_OTU
Pavlovskoe5_p1,172.19.250.139,DES-3028_OTU
Pavlovskoye35 172.19.250.187,172.19.250.187,DES-3028_OTU
Penkovaya_6,172.22.203.10,DES-3526_OTU
Pesochnaya2_sw1,172.19.250.104,DES-3028_OTU
Pesochnaya2_sw2,172.19.250.107,DGS-1100-06/ME_OTU
Podv36_1_demontirovan,172.19.133.4,DES-3526_OTU
